Polish;English
nie;no
to;this
się;oneself
w;in
na;on
i;and
że;that
z;with
co;what
jest;is
do;down
tak;yes
o;about
jak;How
ale;But
a;and
mnie;me
mi;to me
za;behind
ja;I
tym;this
tego;this
go;him
ci;you
po;after
tylko;Just
czy;Whether
tu;here
może;Maybe
jestem;I am
ma;has
ty;you
cię;you
mam;I have
jesteś;You are
już;Already
jeśli;If
dla;For
wiem;I know
coś;something
dobrze;All right
więc;So
od;From
teraz;Now
pan;Mr
wszystko;All
być;to be
będzie;will be
masz;You have
nic;nothing
tam;over there
mogę;I can
proszę;Please
jej;her
są;are
gdzie;Where
kiedy;When
ten;this
on;he
ciebie;you
by;by
sobie;yourself
ze;That
był;was
wiesz;You know
bardzo;Very
było;was
przez;By
jego;his
ją;I
chcę;I want
dlaczego;Why
pani;you
jeszcze;still
mój;my
nas;us
żeby;To
no;yeah
bo;because
chcesz;You want
ich;their
też;Too
tutaj;here
naprawdę;Really
nigdy;Never
mamy;We have
kto;Who
możesz;You can
dobra;All right
przepraszam;Sorry
mu;him
gdy;When
muszę;I have to
porządku;okay
dziękuję;Thank you
nawet;even
chyba;I guess
domu;home
ona;She
prawda;True
zrobić;to do
była;was
właśnie;Exactly
będę;I will
zawsze;Always
hej;Hi
nim;him
nam;U.S
te;these
moja;My
musisz;you have to
je;eats
dzięki;Thanks
bez;without
tej;this one
trochę;A bit
ktoś;someone
panie;sir
jesteśmy;We are
moje;my
powiedzieć;to say
który;which
czas;time
więcej;more
twój;your
musimy;we have to
lat;years
ta;yeah
chce;I want
możemy;We can
wszyscy;all
tobą;you
albo;or
prostu;simply
chodzi;goes
razem;Together
stało;happened
cześć;Hi
mną;me
czego;what
sam;alone
myślę;I think
pana;Mr
przed;Before
boże;God
raz;once
czemu;Why
będziesz;you will
niż;than
ludzie;People
dalej;next
czym;what
was;mustache
dobry;Good
przy;by
ludzi;people
dzień;Day
życie;life
lepiej;Better
miał;had
rzeczy;things
twoja;your
czasu;time
ok;Approx
temu;ago
robisz;you do
myślisz;Do you think
kim;Who is
niech;let
które;which
oczywiście;Of course
siebie;myself
niego;him
cóż;Well
powiedział;he said
u;at
daj;give
moim;my
chodź;come
musi;has to
my;we
nikt;nobody
twoje;your
tych;these
pod;under
dlatego;Which is why
pewnie;Sure
powiedz;Say
aby;To
wtedy;then
wygląda;looks
jeden;one
mojego;mine
im;them
mówi;says
dziś;today
taki;such
mieć;to have
jako;as
dwa;two
potem;later
wie;he knows
takie;such
nią;her
wszystkie;all
znaczy;means
rozumiem;I see
dzieje;happening
moją;My
będziemy;we will
wiele;many
stąd;hence
oni;they
mojej;mine
miejsce;place
iść;to go
kilka;several
pomóc;help
dużo;A lot
ile;how much
jasne;Of course
byłem;I was
swoje;own
myśli;thinks
cały;whole
skąd;from where
wiedzieć;know
dzieci;kids
nich;them
która;which
wam;you
przykro;I'm sorry
można;you can
jakieś;some
tę;these
wszystkich;everyone
nad;above
jakiś;some
sposób;way
trzeba;it's necessary to
mają;May
niej;her
pracy;work
kogoś;someone
tyle;so much
robić;to do
bardziej;more
mówisz;you say
zanim;before
zbyt;too
szybko;Quick
dzisiaj;Today
tobie;you
takiego;like this
świetnie;Great
zobaczyć;see
zaraz;In a second
pewno;surely
miałem;I had
kocham;I love
mówię;I say
nadal;still
jaki;What
rację;right
kochanie;Honey
myślałem;I thought
trzy;Three
ojciec;father
ani;or
robi;does
stanie;standing
tą;this one
później;Later
ponieważ;Because
idź;go
życia;life
twoim;yours
przestań;Stop
sie;myself
swoją;yours
chciałem;I wanted
długo;long
mamo;Mom
kiedyś;Once
cholera;cholera
wciąż;still
nadzieję;hope
aż;until
będą;they will
jutro;Tomorrow
każdy;everyone
dni;days
problem;problem
widzę;I see
mógł;could
stary;old
taka;like that
żebyś;you
widzisz;You see
twojej;your
tato;dad
potrzebuję;I need
znowu;again
kurwa;whore
dziecko;kid
nocy;night
znaleźć;to find
sama;alone
dokładnie;Exactly
dnia;day
oh;oh
pierwszy;first
czuję;I feel
pieniądze;money
powiem;I will say
zrobił;he did
nami;us
miała;she had
twoją;your
gdyby;if
nasz;our
nasze;our
razie;for now
samo;itself
były;were
dobre;Good
słuchaj;listen
koniec;end
chciał;he wanted
widziałem;I saw
jakie;What
wszystkim;everything
znam;I know
wcześniej;before
spokój;composure
chwilę;moments
mama;mom
sobą;yourself
zostać;stay
został;left
wy;You
czegoś;something
żyje;is alive
mówić;to talk
bym;I would
którzy;who
porozmawiać;talk
spójrz;look
roku;year
mogą;they can
chciałbym;I'd like
zabić;kill
poza;apart from
dom;House
we;in
imię;name
twojego;yours
lub;or
och;oh
miło;Nice
którą;which
kogo;whom
sir;sir
minut;minutes
jakby;as if
prawie;almost
drzwi;door
byłam;I was
jesteście;you are
posłuchaj;listen
powiedziałem;I said
powodu;reason
powinniśmy;we should
gdzieś;somewhere
końcu;finally
lubię;I like
mów;speak
sprawy;Affairs
czekaj;Wait
pomysł;idea
zrobię;I will
wiemy;we know
wydaje;spends
byłeś;you were
razy;times
moich;mine
człowiek;man
jednak;But
innego;another
dość;enough
pomocy;help
przecież;yet
panu;sir
broń;weapon
żadnych;none
noc;night
macie;you have
ciągle;all the time
c;c
żebym;so that
źle;Badly
powiedziała;she said
facet;guy
mówiłem;I told you
którego;whose
podoba;I like it
miejscu;place
jeżeli;if
skoro;since
ego;ego
ojca;father
powinieneś;you should
lata;years
sprawa;thing
niczego;nothing
takim;like this
pamiętasz;Do you remember
sądzę;I think so
właściwie;actually
dwie;two
pokoju;peace
którym;which
myślałam;I thought
jedno;one thing
idziemy;let's go
również;also
bądź;be
znasz;you know
swój;your
swojego;your own
byś;you would
chodźmy;let's go
nowy;new
chciałam;I wanted to
pewien;a
wczoraj;Yesterday
jedną;one
musiał;he had to
której;which
idę;I'm going
poważnie;seriously
swoim;your own
życiu;life
rozumiesz;You understand
których;which
podczas;while
miałam;I had
oczy;Eyes
rano;in the morning
sprawę;matter
wystarczy;enough
spokojnie;Relax
całą;whole
telefon;Telephone
rzecz;thing
matka;mother
samochód;car
świat;world
nimi;them
dwóch;two
pracę;work
dać;to give
byli;they were
powinienem;I should
weź;take it
jedna;one
zamknij;close
the;the
mały;small
da;yes
pozwól;let me
całe;all
wina;fault
wiedziałem;I knew
wrócić;come back
między;between
chcą;they want
idzie;goes
śmierci;death
mówił;he spoke
numer;number
oto;here
miejsca;places
dopóki;until
czujesz;you feel
cokolwiek;whatever
swojej;yours
nikogo;nobody
dam;I'll give it
powiedziałeś;You said
tłumaczenie;translation
dziewczyna;girl
najpierw;firstly
pamiętam;I remember
powiesz;you say
pytanie;question
inaczej;otherwise
świecie;world
znów;again
wyglądasz;you look
przynajmniej;at least
widzieć;see
prawdę;truth
zrobiłem;I did
śmierć;death
swoich;their own
halo;Hello
gdybym;if
jednego;one
pieniędzy;money
brzmi;sounds
wierzę;I believe
innych;other
trzymaj;hold
robię;I am doing
ogóle;in general
super;cool
kobiety;women
potrzebuje;I need
tata;dad
pójdę;I'll go
wielu;many
dokąd;where
ręce;hands
zrobiłeś;you did
miłość;love
całkiem;quite
naszej;ours
nasza;our
możliwe;That's possible
gra;game
prawo;law
inne;other
każdym;every
chwili;moment
kobieta;woman
jednym;one
zrób;make
ważne;important
wybacz;Sorry
żona;wife
chcemy;we want
działa;works
byłoby;it would be
także;too
słyszałem;I heard
wiedział;he knew
dziewczyny;Girls
drogi;Dear
pewna;sure
wiecie;you know
mówią;they say
cieszę;I'm happy
dopiero;only
poznać;to get to know
serce;heart
inny;other
witam;Hello
pojęcia;concepts
parę;a couple
przeciwko;against
udało;it worked
powinien;should
została;she stayed
naszym;ours
raczej;rather
wiadomość;message
pięć;five
s;p
każdego;each
godziny;hours
plan;plan
wcale;at all
ciało;body
słowa;words
witaj;Hello
naszego;ours
mogła;she could
czasie;time
dostać;to receive
nowego;new
czymś;something
stać;be
oznacza;means
jaką;what
naszych;ours
patrz;Look
czyli;That is
twoich;yours
człowieka;human
czasem;sometimes
dziwne;Weird
żyć;lives
zostaw;leave
zabrać;take away
żadnego;none
cholery;damn
ostatnio;lately
rodziny;families
ciężko;hard
martw;dead
miałeś;you had
rozmawiać;to talk
rób;do
ziemi;earth
nazywa;calls
panowie;gentlemen
bóg;God
widziałam;I saw
szczęście;luck
syn;son
takich;such
sprawie;case
zabił;killed
powrotem;back
możecie;you can
godzin;hours
potrzebujemy;We need
diabła;devil
panią;Mrs
powinnaś;you should
ostatni;last
zrobimy;we will do it
mąż;husband
wyjść;go out
krwi;blood
szkoły;schools
nieźle;not bad
syna;son
natychmiast;immediately
słucham;I'm listening
mieliśmy;we had
taką;like this
wszystkiego;all
widziałeś;you saw
serio;seriously
policja;Police
chciała;she wanted
zrobisz;you will
byliśmy;we were
radę;advice
zgadza;that's right
one;they
czasami;Sometimes
końca;end
idziesz;you're going
zostanie;will stay
powinnam;I should
byłaś;you were
mogłem;I could
drodze;road
mieli;they had
najbardziej;the most
pomoc;help
jaka;what
cztery;four
john;John
strony;pages
część;Hi
należy;belongs
jack;jack
kimś;someone